sample_id,task_id,template_family,task_set,split,variant_name,language,domain,gold_tool,intent,need_clarification,clarification_fields,distractor_tools,gold_params
book_flight_ext_005__incomplete,book_flight_ext_005,book_flight_003,external_eval,external_eval,incomplete,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-08-29）,True,"[""date"", ""flight_no""]","[""change_flight"", ""search_web""]","{""date"": ""2026-08-29"", ""flight_no"": ""CZ3146"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""economy""}"
book_flight_ext_005__misleading,book_flight_ext_005,book_flight_003,external_eval,external_eval,misleading,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-08-29）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-08-29"", ""flight_no"": ""CZ3146"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""economy""}"
book_flight_ext_006__ambiguous,book_flight_ext_006,book_flight_003,external_eval,external_eval,ambiguous,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-09-14）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-09-14"", ""flight_no"": ""CZ3162"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""premium_economy""}"
book_flight_ext_006__clear,book_flight_ext_006,book_flight_003,external_eval,external_eval,clear,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-09-14）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-09-14"", ""flight_no"": ""CZ3162"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""premium_economy""}"
book_flight_ext_006__incomplete,book_flight_ext_006,book_flight_003,external_eval,external_eval,incomplete,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-09-14）,True,"[""date"", ""flight_no""]","[""change_flight"", ""search_web""]","{""date"": ""2026-09-14"", ""flight_no"": ""CZ3162"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""premium_economy""}"
book_flight_ext_006__misleading,book_flight_ext_006,book_flight_003,external_eval,external_eval,misleading,zh,travel,book_flight,Book a Guangzhou to Chengdu flight（2026-09-14）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-09-14"", ""flight_no"": ""CZ3162"", ""origin"": ""Guangzhou"", ""destination"": ""Chengdu"", ""seat_class"": ""premium_economy""}"
book_flight_ext_007__ambiguous,book_flight_ext_007,book_flight_004,external_eval,external_eval,ambiguous,en,travel,book_flight,Book a domestic US flight on 2026-10-17,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-10-17"", ""flight_no"": ""UA902"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""economy""}"
book_flight_ext_007__clear,book_flight_ext_007,book_flight_004,external_eval,external_eval,clear,en,travel,book_flight,Book a domestic US flight on 2026-10-17,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-10-17"", ""flight_no"": ""UA902"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""economy""}"
book_flight_ext_007__incomplete,book_flight_ext_007,book_flight_004,external_eval,external_eval,incomplete,en,travel,book_flight,Book a domestic US flight on 2026-10-17,True,"[""date"", ""flight_no"", ""origin""]","[""change_flight"", ""search_web""]","{""date"": ""2026-10-17"", ""flight_no"": ""UA902"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""economy""}"
book_flight_ext_007__misleading,book_flight_ext_007,book_flight_004,external_eval,external_eval,misleading,en,travel,book_flight,Book a domestic US flight on 2026-10-17,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-10-17"", ""flight_no"": ""UA902"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""economy""}"
book_flight_ext_008__ambiguous,book_flight_ext_008,book_flight_004,external_eval,external_eval,ambiguous,en,travel,book_flight,Book a domestic US flight on 2026-11-02,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-11-02"", ""flight_no"": ""UA918"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""premium_economy""}"
book_flight_ext_008__clear,book_flight_ext_008,book_flight_004,external_eval,external_eval,clear,en,travel,book_flight,Book a domestic US flight on 2026-11-02,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-11-02"", ""flight_no"": ""UA918"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""premium_economy""}"
book_flight_ext_008__incomplete,book_flight_ext_008,book_flight_004,external_eval,external_eval,incomplete,en,travel,book_flight,Book a domestic US flight on 2026-11-02,True,"[""date"", ""flight_no"", ""origin""]","[""change_flight"", ""search_web""]","{""date"": ""2026-11-02"", ""flight_no"": ""UA918"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""premium_economy""}"
book_flight_ext_008__misleading,book_flight_ext_008,book_flight_004,external_eval,external_eval,misleading,en,travel,book_flight,Book a domestic US flight on 2026-11-02,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-11-02"", ""flight_no"": ""UA918"", ""origin"": ""San Francisco"", ""destination"": ""Seattle"", ""seat_class"": ""premium_economy""}"
book_flight_ext_009__ambiguous,book_flight_ext_009,book_flight_005,external_eval,external_eval,ambiguous,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-04）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-12-04"", ""flight_no"": ""HO1301"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""economy""}"
book_flight_ext_009__clear,book_flight_ext_009,book_flight_005,external_eval,external_eval,clear,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-04）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-12-04"", ""flight_no"": ""HO1301"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""economy""}"
book_flight_ext_009__incomplete,book_flight_ext_009,book_flight_005,external_eval,external_eval,incomplete,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-04）,True,"[""date"", ""origin""]","[""change_flight"", ""search_web""]","{""date"": ""2026-12-04"", ""flight_no"": ""HO1301"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""economy""}"
book_flight_ext_009__misleading,book_flight_ext_009,book_flight_005,external_eval,external_eval,misleading,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-04）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-12-04"", ""flight_no"": ""HO1301"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""economy""}"
book_flight_ext_010__ambiguous,book_flight_ext_010,book_flight_005,external_eval,external_eval,ambiguous,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-20）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-12-20"", ""flight_no"": ""HO1317"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""premium_economy""}"
book_flight_ext_010__clear,book_flight_ext_010,book_flight_005,external_eval,external_eval,clear,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-20）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-12-20"", ""flight_no"": ""HO1317"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""premium_economy""}"
book_flight_ext_010__incomplete,book_flight_ext_010,book_flight_005,external_eval,external_eval,incomplete,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-20）,True,"[""date"", ""origin""]","[""change_flight"", ""search_web""]","{""date"": ""2026-12-20"", ""flight_no"": ""HO1317"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""premium_economy""}"
book_flight_ext_010__misleading,book_flight_ext_010,book_flight_005,external_eval,external_eval,misleading,zh,travel,book_flight,Book a Nanjing to Sanya flight（2026-12-20）,False,[],"[""change_flight"", ""search_web""]","{""date"": ""2026-12-20"", ""flight_no"": ""HO1317"", ""origin"": ""Nanjing"", ""destination"": ""Sanya"", ""seat_class"": ""premium_economy""}"
change_flight_ext_001__ambiguous,change_flight_ext_001,change_flight_001,external_eval,external_eval,ambiguous,zh,travel,change_flight,Move an existing booking to a later date：BK-8856,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8856"", ""new_date"": ""2026-06-09"", ""reason"": ""speaker schedule moved""}"
change_flight_ext_001__clear,change_flight_ext_001,change_flight_001,external_eval,external_eval,clear,zh,travel,change_flight,Move an existing booking to a later date：BK-8856,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8856"", ""new_date"": ""2026-06-09"", ""reason"": ""speaker schedule moved""}"
change_flight_ext_001__incomplete,change_flight_ext_001,change_flight_001,external_eval,external_eval,incomplete,zh,travel,change_flight,Move an existing booking to a later date：BK-8856,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8856"", ""new_date"": ""2026-06-09"", ""reason"": ""speaker schedule moved""}"
change_flight_ext_001__misleading,change_flight_ext_001,change_flight_001,external_eval,external_eval,misleading,zh,travel,change_flight,Move an existing booking to a later date：BK-8856,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8856"", ""new_date"": ""2026-06-09"", ""reason"": ""speaker schedule moved""}"
change_flight_ext_002__ambiguous,change_flight_ext_002,change_flight_001,external_eval,external_eval,ambiguous,zh,travel,change_flight,Move an existing booking to a later date：BK-8871,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8871"", ""new_date"": ""2026-06-24"", ""reason"": ""hotel check-in constraint changed""}"
change_flight_ext_002__clear,change_flight_ext_002,change_flight_001,external_eval,external_eval,clear,zh,travel,change_flight,Move an existing booking to a later date：BK-8871,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8871"", ""new_date"": ""2026-06-24"", ""reason"": ""hotel check-in constraint changed""}"
change_flight_ext_002__incomplete,change_flight_ext_002,change_flight_001,external_eval,external_eval,incomplete,zh,travel,change_flight,Move an existing booking to a later date：BK-8871,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8871"", ""new_date"": ""2026-06-24"", ""reason"": ""hotel check-in constraint changed""}"
change_flight_ext_002__misleading,change_flight_ext_002,change_flight_001,external_eval,external_eval,misleading,zh,travel,change_flight,Move an existing booking to a later date：BK-8871,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-8871"", ""new_date"": ""2026-06-24"", ""reason"": ""hotel check-in constraint changed""}"
change_flight_ext_003__ambiguous,change_flight_ext_003,change_flight_002,external_eval,external_eval,ambiguous,en,travel,change_flight,Change a booking date after a conflict for BK-9927,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9927"", ""new_date"": ""2026-07-15"", ""reason"": ""school schedule conflict""}"
change_flight_ext_003__clear,change_flight_ext_003,change_flight_002,external_eval,external_eval,clear,en,travel,change_flight,Change a booking date after a conflict for BK-9927,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9927"", ""new_date"": ""2026-07-15"", ""reason"": ""school schedule conflict""}"
change_flight_ext_003__incomplete,change_flight_ext_003,change_flight_002,external_eval,external_eval,incomplete,en,travel,change_flight,Change a booking date after a conflict for BK-9927,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9927"", ""new_date"": ""2026-07-15"", ""reason"": ""school schedule conflict""}"
change_flight_ext_003__misleading,change_flight_ext_003,change_flight_002,external_eval,external_eval,misleading,en,travel,change_flight,Change a booking date after a conflict for BK-9927,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9927"", ""new_date"": ""2026-07-15"", ""reason"": ""school schedule conflict""}"
change_flight_ext_004__ambiguous,change_flight_ext_004,change_flight_002,external_eval,external_eval,ambiguous,en,travel,change_flight,Change a booking date after a conflict for BK-9942,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9942"", ""new_date"": ""2026-07-30"", ""reason"": ""transport connection changed""}"
change_flight_ext_004__clear,change_flight_ext_004,change_flight_002,external_eval,external_eval,clear,en,travel,change_flight,Change a booking date after a conflict for BK-9942,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9942"", ""new_date"": ""2026-07-30"", ""reason"": ""transport connection changed""}"
change_flight_ext_004__incomplete,change_flight_ext_004,change_flight_002,external_eval,external_eval,incomplete,en,travel,change_flight,Change a booking date after a conflict for BK-9942,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9942"", ""new_date"": ""2026-07-30"", ""reason"": ""transport connection changed""}"
change_flight_ext_004__misleading,change_flight_ext_004,change_flight_002,external_eval,external_eval,misleading,en,travel,change_flight,Change a booking date after a conflict for BK-9942,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-9942"", ""new_date"": ""2026-07-30"", ""reason"": ""transport connection changed""}"
change_flight_ext_005__ambiguous,change_flight_ext_005,change_flight_003,external_eval,external_eval,ambiguous,zh,travel,change_flight,Change a flight because of weather：TR-5535,False,[],"[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5535"", ""new_date"": ""2026-08-02"", ""reason"": ""snow advisory""}"
change_flight_ext_005__clear,change_flight_ext_005,change_flight_003,external_eval,external_eval,clear,zh,travel,change_flight,Change a flight because of weather：TR-5535,False,[],"[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5535"", ""new_date"": ""2026-08-02"", ""reason"": ""snow advisory""}"
change_flight_ext_005__incomplete,change_flight_ext_005,change_flight_003,external_eval,external_eval,incomplete,zh,travel,change_flight,Change a flight because of weather：TR-5535,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5535"", ""new_date"": ""2026-08-02"", ""reason"": ""snow advisory""}"
change_flight_ext_005__misleading,change_flight_ext_005,change_flight_003,external_eval,external_eval,misleading,zh,travel,change_flight,Change a flight because of weather：TR-5535,False,[],"[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5535"", ""new_date"": ""2026-08-02"", ""reason"": ""snow advisory""}"
change_flight_ext_006__ambiguous,change_flight_ext_006,change_flight_003,external_eval,external_eval,ambiguous,zh,travel,change_flight,Change a flight because of weather：TR-5550,False,[],"[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5550"", ""new_date"": ""2026-08-17"", ""reason"": ""fog disruption at departure airport""}"
change_flight_ext_006__clear,change_flight_ext_006,change_flight_003,external_eval,external_eval,clear,zh,travel,change_flight,Change a flight because of weather：TR-5550,False,[],"[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5550"", ""new_date"": ""2026-08-17"", ""reason"": ""fog disruption at departure airport""}"
change_flight_ext_006__incomplete,change_flight_ext_006,change_flight_003,external_eval,external_eval,incomplete,zh,travel,change_flight,Change a flight because of weather：TR-5550,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5550"", ""new_date"": ""2026-08-17"", ""reason"": ""fog disruption at departure airport""}"
change_flight_ext_006__misleading,change_flight_ext_006,change_flight_003,external_eval,external_eval,misleading,zh,travel,change_flight,Change a flight because of weather：TR-5550,False,[],"[""book_flight"", ""search_web""]","{""booking_id"": ""TR-5550"", ""new_date"": ""2026-08-17"", ""reason"": ""fog disruption at departure airport""}"
change_flight_ext_007__ambiguous,change_flight_ext_007,change_flight_004,external_eval,external_eval,ambiguous,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-139,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-139"", ""new_date"": ""2026-09-12"", ""reason"": ""workshop schedule slipped""}"
change_flight_ext_007__clear,change_flight_ext_007,change_flight_004,external_eval,external_eval,clear,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-139,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-139"", ""new_date"": ""2026-09-12"", ""reason"": ""workshop schedule slipped""}"
change_flight_ext_007__incomplete,change_flight_ext_007,change_flight_004,external_eval,external_eval,incomplete,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-139,True,"[""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-139"", ""new_date"": ""2026-09-12"", ""reason"": ""workshop schedule slipped""}"
change_flight_ext_007__misleading,change_flight_ext_007,change_flight_004,external_eval,external_eval,misleading,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-139,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-139"", ""new_date"": ""2026-09-12"", ""reason"": ""workshop schedule slipped""}"
change_flight_ext_008__ambiguous,change_flight_ext_008,change_flight_004,external_eval,external_eval,ambiguous,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-154,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-154"", ""new_date"": ""2026-09-27"", ""reason"": ""registration day moved""}"
change_flight_ext_008__clear,change_flight_ext_008,change_flight_004,external_eval,external_eval,clear,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-154,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-154"", ""new_date"": ""2026-09-27"", ""reason"": ""registration day moved""}"
change_flight_ext_008__incomplete,change_flight_ext_008,change_flight_004,external_eval,external_eval,incomplete,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-154,True,"[""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-154"", ""new_date"": ""2026-09-27"", ""reason"": ""registration day moved""}"
change_flight_ext_008__misleading,change_flight_ext_008,change_flight_004,external_eval,external_eval,misleading,en,travel,change_flight,Change a booking after a conference moved for PNR-2026-154,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""PNR-2026-154"", ""new_date"": ""2026-09-27"", ""reason"": ""registration day moved""}"
change_flight_ext_009__ambiguous,change_flight_ext_009,change_flight_005,external_eval,external_eval,ambiguous,zh,travel,change_flight,Change a booking on client request：BK-CN-7813,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7813"", ""new_date"": ""2026-10-25"", ""reason"": ""procurement review changed""}"
change_flight_ext_009__clear,change_flight_ext_009,change_flight_005,external_eval,external_eval,clear,zh,travel,change_flight,Change a booking on client request：BK-CN-7813,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7813"", ""new_date"": ""2026-10-25"", ""reason"": ""procurement review changed""}"
change_flight_ext_009__incomplete,change_flight_ext_009,change_flight_005,external_eval,external_eval,incomplete,zh,travel,change_flight,Change a booking on client request：BK-CN-7813,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7813"", ""new_date"": ""2026-10-25"", ""reason"": ""procurement review changed""}"
change_flight_ext_009__misleading,change_flight_ext_009,change_flight_005,external_eval,external_eval,misleading,zh,travel,change_flight,Change a booking on client request：BK-CN-7813,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7813"", ""new_date"": ""2026-10-25"", ""reason"": ""procurement review changed""}"
change_flight_ext_010__ambiguous,change_flight_ext_010,change_flight_005,external_eval,external_eval,ambiguous,zh,travel,change_flight,Change a booking on client request：BK-CN-7828,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7828"", ""new_date"": ""2026-11-09"", ""reason"": ""onsite demo date moved""}"
change_flight_ext_010__clear,change_flight_ext_010,change_flight_005,external_eval,external_eval,clear,zh,travel,change_flight,Change a booking on client request：BK-CN-7828,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7828"", ""new_date"": ""2026-11-09"", ""reason"": ""onsite demo date moved""}"
change_flight_ext_010__incomplete,change_flight_ext_010,change_flight_005,external_eval,external_eval,incomplete,zh,travel,change_flight,Change a booking on client request：BK-CN-7828,True,"[""booking_id"", ""new_date""]","[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7828"", ""new_date"": ""2026-11-09"", ""reason"": ""onsite demo date moved""}"
change_flight_ext_010__misleading,change_flight_ext_010,change_flight_005,external_eval,external_eval,misleading,zh,travel,change_flight,Change a booking on client request：BK-CN-7828,False,[],"[""book_flight"", ""create_support_ticket""]","{""booking_id"": ""BK-CN-7828"", ""new_date"": ""2026-11-09"", ""reason"": ""onsite demo date moved""}"
create_support_ticket_ext_001__ambiguous,create_support_ticket_ext_001,create_support_ticket_001,external_eval,external_eval,ambiguous,en,support,create_support_ticket,Create a high-priority technical ticket for U-234,False,[],"[""update_order"", ""query_internal_docs""]","{""user_id"": ""U-234"", ""category"": ""technical"", ""priority"": ""high"", ""description"": ""SSO redirect loops in the browser""}"
